# Time-averaged data for fix PressAve
# TimeStep c_P
6600000 253.235
6610000 99.0758
6620000 -44.2649
6630000 -82.0598
6640000 93.4912
6650000 17.4631
6660000 -109.001
6670000 101.197
6680000 -26.2573
6690000 -68.697
6700000 30.6673
6710000 -55.207
6720000 61.6552
6730000 260.085
6740000 62.0416
6750000 -73.2071
6760000 117.027
6770000 -48.8674
6780000 87.8316
6790000 185.123
6800000 202.885
6810000 217.095
6820000 10.1737
6830000 126.75
6840000 69.2646
6850000 150.022
6860000 -110.761
6870000 -44.735
6880000 -245.626
6890000 152.993
6900000 121.706
6910000 137.918
6920000 179.646
6930000 22.8432
6940000 0.203237
6950000 -62.7362
6960000 38.3163
6970000 18.8952
6980000 110.518
6990000 -3.51293
7000000 -88.2758
7010000 -104.138
7020000 136.014
7030000 25.6998
7040000 59.7898
7050000 -16.8257
7060000 148.661
7070000 105.89
7080000 64.6225
7090000 129.139
7100000 35.5334
7110000 83.226
7120000 31.5174
7130000 63.4548
7140000 45.5061
7150000 57.1581
7160000 59.2613
7170000 98.3997
7180000 -234.978
7190000 -21.667
7200000 -38.2491
7210000 -200.815
7220000 147.083
7230000 -8.30148
7240000 -58.4358
7250000 242.644
7260000 -117.4
7270000 266.943
7280000 48.7528
7290000 135.794
7300000 243.759
7310000 -17.5946
7320000 -85.2894
7330000 -176.778
7340000 13.9949
7350000 216.61
7360000 118.182
7370000 -249.093
7380000 19.5581
7390000 -185.262
7400000 101.416
7410000 153.248
7420000 -29.5047
7430000 243.75
7440000 96.8592
7450000 5.72815
7460000 81.6584
7470000 90.3208
7480000 -50.9674
7490000 3.42935
7500000 -55.9224
7510000 -111.636
7520000 -184.953
7530000 -118.633
7540000 213.07
7550000 68.7077
7560000 48.4539
7570000 78.3139
7580000 -28.1171
7590000 -3.68628
7600000 42.3281
7610000 -101.072
7620000 136.497
7630000 61.8245
7640000 241.572
7650000 131.542
7660000 132.729
7670000 190.687
7680000 235.338
7690000 -74.5503
7700000 105.412
7710000 -92.4451
7720000 110.413
7730000 95.7634
7740000 -119.155
7750000 -113.279
7760000 -101.753
7770000 -98.8465
7780000 -48.4321
7790000 87.7294
7800000 16.1019
7810000 228.723
7820000 213.587
7830000 183.619
7840000 183.945
7850000 -173.843
7860000 121.677
7870000 120.35
7880000 11.6024
7890000 224.347
7900000 156.463
7910000 7.533
7920000 56.8878
7930000 -16.1825
7940000 22.5142
7950000 -47.6394
7960000 115.545
7970000 31.0954
7980000 10.1561
7990000 111.319
8000000 -125.472
8010000 9.27474
8020000 4.84097
8030000 53.4494
8040000 -38.0289
8050000 -34.1857
8060000 -30.6681
8070000 7.52772
8080000 101.68
8090000 11.9684
8100000 18.7806
8110000 -132.531
8120000 40.8241
8130000 51.3277
8140000 70.0472
8150000 69.4572
8160000 -3.71141
8170000 130.731
8180000 66.3788
8190000 217.599
8200000 216.066
8210000 241.224
8220000 188.998
8230000 -59.7155
8240000 101.802
8250000 61.9357
8260000 216.881
8270000 40.3052
8280000 73.2207
8290000 -113.708
8300000 -29.0432
8310000 -66.6738
8320000 -82.2902
8330000 147.326
8340000 165.262
8350000 50.4546
8360000 176.399
8370000 -15.0785
8380000 142.781
8390000 163.104
8400000 227.666
8410000 44.0777
8420000 115.263
8430000 63.3256
8440000 83.7625
8450000 -9.09552
8460000 21.8281
8470000 8.03818
8480000 -118.462
8490000 -45.5505
8500000 65.7801
8510000 107.847
8520000 126.49
8530000 -84.4592
8540000 39.6929
8550000 59.3611
8560000 92.4653
8570000 20.2752
8580000 -62.4393
8590000 -129.911
8600000 -50.7096
8610000 163.699
8620000 32.1781
8630000 -46.4235
8640000 -104.521
8650000 -50.5898
8660000 41.879
8670000 2.45911
8680000 41.4583
8690000 104.197
8700000 108.122
8710000 -15.4136
8720000 33.4815
8730000 -18.4363
8740000 164.706
8750000 51.9398
8760000 -228.313
8770000 138.157
8780000 156.654
8790000 115.102
8800000 133.386
8810000 6.94141
8820000 242.204
8830000 106.032
8840000 257.185
8850000 -60.5369
8860000 14.5465
8870000 204.773
8880000 57.8261
8890000 26.9445
8900000 103.573
8910000 48.629
8920000 17.1992
8930000 172.79
8940000 -227.294
8950000 210.802
8960000 113.384
8970000 12.5083
8980000 -98.8025
8990000 80.5318
9000000 69.0518
9010000 68.4811
9020000 171.904
9030000 124.73
9040000 99.1214
9050000 85.3598
9060000 -7.71516
9070000 -39.4949
9080000 -4.2778
9090000 89.6688
9100000 -65.1625
9110000 -45.8715
9120000 -62.332
9130000 -59.0763
9140000 125.594
9150000 -101.675
9160000 168.934
9170000 129.65
9180000 125.272
9190000 150.038
9200000 159.224
9210000 3.516
9220000 117.451
9230000 147.128
9240000 58.357
9250000 5.56186
9260000 6.0955
9270000 -87.5578
9280000 -122.345
9290000 102.478
9300000 12.0462
9310000 -65.5952
9320000 -85.3236
9330000 29.4398
9340000 -105.039
9350000 -127.677
9360000 79.8318
9370000 80.0434
9380000 68.5656
9390000 34.3788
9400000 -176.148
9410000 -29.6467
9420000 -32.4329
9430000 25.7045
9440000 51.2525
9450000 -54.2803
9460000 -22.0478
9470000 227.726
9480000 19.3844
9490000 89.7515
9500000 205.901
9510000 130.134
9520000 81.8027
9530000 55.5292
9540000 96.6979
9550000 -113.587
9560000 26.9595
9570000 164.41
9580000 122.573
9590000 -60.0724
9600000 161.761
9610000 3.36673
9620000 179.756
9630000 125.097
9640000 23.3476
9650000 101.842
9660000 -97.4193
9670000 62.9103
9680000 149.386
9690000 100.116
9700000 72.2178
9710000 39.9207
9720000 -58.135
9730000 -63.2726
9740000 189.764
9750000 -108.098
9760000 88.0058
9770000 158.14
9780000 -113.466
9790000 -17.8638
9800000 65.528
9810000 4.33979
9820000 -81.8028
9830000 33.6998
9840000 -67.1486
9850000 124.65
9860000 32.0299
9870000 -43.3507
9880000 9.63066
9890000 75.5711
9900000 48.8235
9910000 156.921
9920000 -28.7708
9930000 10.604
9940000 91.0249
9950000 -90.6886
9960000 99.8787
9970000 198.892
9980000 166.486
