# Time-averaged data for fix PEAve
# TimeStep v_PotEn
1220000 -18703.4
1230000 -18690.9
1240000 -18713.8
1250000 -18721.7
1260000 -18704.9
1270000 -18696
1280000 -18680.4
1290000 -18736.6
1300000 -18711.9
1310000 -18714.4
1320000 -18662.5
1330000 -18706.9
1340000 -18704.4
1350000 -18711.4
1360000 -18743.8
1370000 -18742.2
1380000 -18696.9
1390000 -18709.5
1400000 -18701.3
1410000 -18713.8
1420000 -18730.9
1430000 -18700.3
1440000 -18702
1450000 -18717.9
1460000 -18709.7
1470000 -18722.8
1480000 -18724.3
1490000 -18722.4
1500000 -18699.8
1510000 -18687.7
1520000 -18690.7
1530000 -18674.8
1540000 -18720.1
1550000 -18717.6
1560000 -18692.5
1570000 -18682.4
1580000 -18746.4
1590000 -18712
1600000 -18703.9
1610000 -18683.6
1620000 -18735.3
1630000 -18711.6
1640000 -18723.5
1650000 -18722.1
1660000 -18730.4
1670000 -18698.6
1680000 -18681.7
1690000 -18682.5
1700000 -18704.2
1710000 -18729
1720000 -18747.3
1730000 -18689
1740000 -18695.1
1750000 -18708.4
1760000 -18702.4
1770000 -18726.6
1780000 -18713
1790000 -18684.8
1800000 -18698.9
1810000 -18702.3
1820000 -18657.2
1830000 -18707.9
1840000 -18728.2
1850000 -18736.9
1860000 -18711.3
1870000 -18679.5
1880000 -18701
1890000 -18746.2
1900000 -18711.4
1910000 -18740.2
1920000 -18723.9
1930000 -18702
1940000 -18703.2
1950000 -18677.1
1960000 -18687.5
1970000 -18716.2
1980000 -18741.9
1990000 -18692.7
2000000 -18710.8
2010000 -18696.3
2020000 -18720.8
2030000 -18717.9
2040000 -18724.1
2050000 -18745.1
2060000 -18714.9
2070000 -18733.7
2080000 -18707.7
2090000 -18712.9
2100000 -18729.2
2110000 -18729.5
2120000 -18717.4
2130000 -18723.6
2140000 -18720.7
2150000 -18682.8
2160000 -18718.6
2170000 -18678.9
2180000 -18727
2190000 -18746.2
2200000 -18720.3
2210000 -18732.8
2220000 -18736.8
2230000 -18761.7
2240000 -18772
2250000 -18734.9
2260000 -18717.4
2270000 -18697
2280000 -18720.4
2290000 -18723.3
2300000 -18724.9
2310000 -18675.6
2320000 -18693.1
2330000 -18671.9
2340000 -18714.4
2350000 -18713.8
2360000 -18699.9
2370000 -18725.2
2380000 -18682
2390000 -18680.9
2400000 -18701.5
2410000 -18689.7
2420000 -18688.5
2430000 -18741.5
2440000 -18730.7
2450000 -18711.6
2460000 -18733.9
2470000 -18733.2
2480000 -18758.4
2490000 -18751.1
2500000 -18758.1
2510000 -18761
2520000 -18723.5
2530000 -18723.1
2540000 -18684.5
2550000 -18726.4
2560000 -18697.7
2570000 -18686.5
2580000 -18683.9
2590000 -18719.3
2600000 -18706.8
2610000 -18719.2
2620000 -18684.8
2630000 -18666.9
2640000 -18651.9
2650000 -18687.2
2660000 -18674.6
2670000 -18697.4
2680000 -18682.3
2690000 -18660
2700000 -18697.1
2710000 -18690.3
2720000 -18687
2730000 -18701.8
2740000 -18705.5
2750000 -18694.1
2760000 -18706
2770000 -18727.3
2780000 -18685.7
2790000 -18726
2800000 -18735.7
2810000 -18697.5
2820000 -18750.6
2830000 -18737.2
2840000 -18691.6
2850000 -18682
2860000 -18722.5
2870000 -18753.8
2880000 -18712.4
2890000 -18703.5
2900000 -18713.7
2910000 -18707.4
2920000 -18672.8
2930000 -18734.8
2940000 -18714.6
2950000 -18709.6
2960000 -18719.6
2970000 -18701.3
2980000 -18700.3
2990000 -18681.9
3000000 -18659.6
3010000 -18652.2
3020000 -18680.8
3030000 -18713
3040000 -18716.7
3050000 -18689.8
3060000 -18696.2
3070000 -18718.7
3080000 -18724.5
3090000 -18705.4
3100000 -18728.5
3110000 -18693.7
3120000 -18707.1
3130000 -18724.4
3140000 -18707.6
3150000 -18689.6
3160000 -18678.1
3170000 -18705.5
3180000 -18718.9
3190000 -18713.3
3200000 -18700.6
3210000 -18719.5
3220000 -18732.1
3230000 -18751.5
3240000 -18709
3250000 -18714.9
3260000 -18716.2
