# Time-averaged data for fix PEAve1
# TimeStep v_PotEn1
4160000 -19098.9
4170000 -19096.2
4180000 -19102.5
4190000 -19064.3
4200000 -19072.2
4210000 -19069.7
4220000 -19076.9
4230000 -19024.8
4240000 -19004.8
4250000 -19109.6
4260000 -19075.4
4270000 -19067.6
4280000 -19070.7
4290000 -19084.1
4300000 -19071.8
4310000 -19079.8
4320000 -19063.3
4330000 -19073.1
4340000 -19050.6
4350000 -19086.1
4360000 -19071.1
4370000 -19069.9
4380000 -19071.4
4390000 -19072.4
4400000 -19074.6
4410000 -19117
4420000 -19106.3
4430000 -19073.5
4440000 -19106.3
4450000 -19089.6
4460000 -19096.7
4470000 -19085.6
4480000 -19090
4490000 -19062
4500000 -19089.1
4510000 -19114.4
4520000 -19108.6
4530000 -19043.8
4540000 -19062.1
4550000 -19086.4
4560000 -19064.1
4570000 -19063.4
4580000 -19024.2
4590000 -19058.3
4600000 -19061.4
4610000 -19094.8
4620000 -19108.9
4630000 -19056.8
4640000 -19085.8
4650000 -19112.1
4660000 -19098.3
4670000 -19094
4680000 -19073.3
4690000 -19037.5
4700000 -19074.5
4710000 -19076.3
4720000 -19075.8
4730000 -19097.1
4740000 -19104.9
4750000 -19069.2
4760000 -19084.2
4770000 -19047
4780000 -19089
4790000 -19047.6
4800000 -19093.3
4810000 -19077.2
4820000 -19093.4
4830000 -19092.4
4840000 -19101
4850000 -19105.8
4860000 -19096.4
4870000 -19074.1
4880000 -19049.5
4890000 -19067.7
4900000 -19079.3
4910000 -19075.1
4920000 -19047.1
4930000 -19074.2
4940000 -19068.4
4950000 -19048.5
4960000 -19071.7
4970000 -19035.3
4980000 -19016.8
4990000 -19045.9
5000000 -19095.7
