# Time-averaged data for fix TEAve1
# TimeStep v_TotEn1
1910000 -17097.2
1920000 -17135.5
1930000 -17112.6
1940000 -17104
1950000 -17101.6
1960000 -17114.1
1970000 -17127.5
1980000 -17136.9
1990000 -17136.9
2000000 -17076.2
2010000 -17095.7
2020000 -17108.8
2030000 -17092.1
2040000 -17123.2
2050000 -17175.7
2060000 -17148.2
2070000 -17123.8
2080000 -17105.8
2090000 -17136.3
2100000 -17125.7
2110000 -17131
2120000 -17146.4
2130000 -17102
2140000 -17085
2150000 -17096.1
2160000 -17130.2
2170000 -17156.2
2180000 -17146.9
2190000 -17155.1
2200000 -17121.2
2210000 -17092.2
2220000 -17088.5
2230000 -17119.8
2240000 -17100.3
2250000 -17122.9
2260000 -17108
2270000 -17134.7
2280000 -17131.7
2290000 -17132.8
2300000 -17145
2310000 -17072.5
2320000 -17112.7
2330000 -17137.1
2340000 -17089.3
2350000 -17135.2
2360000 -17100.7
2370000 -17135.3
2380000 -17112.3
2390000 -17126.5
2400000 -17119.6
2410000 -17173.9
2420000 -17117
2430000 -17094.8
2440000 -17116.4
2450000 -17096.7
2460000 -17124.8
2470000 -17102.9
2480000 -17137.2
2490000 -17156.8
2500000 -17174.2
2510000 -17135.8
2520000 -17111
2530000 -17121.3
2540000 -17126
2550000 -17107.4
2560000 -17125.3
2570000 -17068.2
2580000 -17125
2590000 -17115.7
2600000 -17142
2610000 -17168.1
2620000 -17155.6
2630000 -17141.1
2640000 -17114.7
2650000 -17087.2
2660000 -17095.6
2670000 -17112
2680000 -17088.3
2690000 -17127.6
2700000 -17122.7
2710000 -17132.4
2720000 -17121.8
2730000 -17107.5
2740000 -17120.4
2750000 -17106.3
2760000 -17126
2770000 -17100.6
2780000 -17124
2790000 -17171.4
2800000 -17170.9
2810000 -17094.3
2820000 -17131
2830000 -17135.1
2840000 -17106.5
2850000 -17105.2
2860000 -17116.7
2870000 -17078.8
2880000 -17119.6
2890000 -17135.2
2900000 -17084.4
2910000 -17087.4
2920000 -17147.1
2930000 -17137
2940000 -17154.6
2950000 -17140.5
2960000 -17103.2
2970000 -17134
2980000 -17117.2
2990000 -17126.7
