# Time-averaged data for fix TempAve
# TimeStep c_T
1370000 297.191
1380000 298.449
1390000 297.187
1400000 297.212
1410000 297.652
1420000 297.84
1430000 297.554
1440000 296.976
1450000 297.18
1460000 297.565
1470000 297.447
1480000 298.019
1490000 297.912
1500000 297.571
1510000 297.408
1520000 297.962
1530000 298.081
1540000 297.784
1550000 297.142
1560000 297.686
1570000 298.334
1580000 297.979
1590000 297.663
1600000 297.176
1610000 298.028
1620000 297.287
1630000 297.947
1640000 297.557
1650000 297.101
1660000 296.843
1670000 297.559
1680000 297.643
1690000 298.117
1700000 297.399
1710000 297.527
1720000 297.275
1730000 297.908
1740000 297.718
1750000 296.956
1760000 297.184
1770000 297.94
1780000 297.642
1790000 298.008
1800000 297.299
1810000 297.911
1820000 297.826
1830000 297.01
1840000 297.272
1850000 297.295
1860000 297.508
1870000 297.56
1880000 297.202
1890000 296.934
1900000 296.938
1910000 297.353
1920000 297.527
1930000 297.812
1940000 298.297
1950000 297.998
1960000 297.461
1970000 297.821
1980000 296.861
1990000 298.047
2000000 297.376
2010000 297.915
2020000 297.673
2030000 297.682
2040000 297.786
2050000 297.47
2060000 297.73
2070000 297.518
2080000 297.85
2090000 296.77
2100000 296.856
2110000 297.485
2120000 297.07
2130000 297.763
2140000 297.252
2150000 298.178
2160000 297.527
2170000 297.154
2180000 297.557
2190000 297.421
2200000 297.823
2210000 297.737
2220000 297.57
2230000 297.352
2240000 297.971
2250000 297.591
2260000 297.78
2270000 297.389
2280000 297.098
2290000 297.427
2300000 297.231
2310000 298.547
2320000 297.687
2330000 297.918
2340000 297.364
2350000 296.708
2360000 297.262
2370000 297.365
2380000 297.739
2390000 297.677
2400000 298.043
2410000 298.129
2420000 296.882
2430000 297.803
2440000 297.346
2450000 297.328
2460000 297.482
2470000 297.289
2480000 297.158
2490000 297.434
2500000 297.325
2510000 297.694
2520000 297.112
2530000 297.898
2540000 297.563
2550000 297.699
2560000 297.183
2570000 297.853
2580000 297.53
2590000 297.514
2600000 298.053
2610000 297.782
2620000 298.301
2630000 297.625
2640000 297.553
2650000 297.466
2660000 298.236
2670000 297.215
2680000 297.668
2690000 297.648
2700000 297.721
2710000 297.46
