Simulation state at cycle:    2000000
##############################################################################                                           

Number-of-molecules: 334   

Box-size(s):    21.576673

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.3030870040E+000   0.2356989868E+000   0.1649874444E+000   0.2368996032E+001

Rotation per molecule type
Box 1    0.2205053537E+002   0.9000000000E+002   0.7872459795E+001   0.1800000000E+003

Volume    Delta_Volume
Box 1   0.1385676253E+003

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 300   
Atomtype         X                  Y                   Z
  3        9.5524594405       19.8774575391        6.3979516088
  1        4.0610793977        3.2924289173        6.4305347046
  2        3.4861799535        3.2863751953        5.6652356398
  2        4.8945630470        3.6293914256        6.1019164591
  3        4.0951965532        3.3360884537        6.2862051352
  1        2.6946309534        6.7096841988       12.8537736819
  2        2.0641730154        7.3365649381       12.4991301933
  2        2.4072592014        6.5641561060       13.7551435989
  3        2.5735340820        6.7731930394       12.9259078270
  1        6.1107076468       10.7227564430        5.6187148146
  2        6.4498806859       11.3719322427        5.0024672121
  2        6.1352668167        9.8970415296        5.1351650179
  3        6.1586978491       10.6994641759        5.4736094364
  1       14.3829055679       13.5466707569        2.1952631466
  2       15.2096824001       13.5519056611        1.7129340655
  2       14.5741923521       13.0552280705        2.9940886151
  3       14.5172271313       13.4825213380        2.2370211359
  1        2.5399897885       15.7245801600        2.6698493688
  2        3.1755770755       15.1032464786        3.0250984843
  2        2.9697723601       16.0924792716        1.8977315917
  3        2.6805528562       15.6911424385        2.6148484342
  1       19.5074995182        9.8851371205       14.9105484941
  2       19.7073170270        9.3270487607       15.6621062249
  2       19.1112396629        9.2934826787       14.2708987263
  3       19.4815812527        9.7334420318       14.9253134384
  1       18.5467861643        6.9132485111       20.1660416675
  2       19.2732269141        7.3526072417       20.6081688209
  2       17.7659636724        7.2129545151       20.6315749362
  3       18.5396111307        7.0107594416       20.2857968232
  1       13.5846677081        1.7944624713       14.5189949988
  2       13.7302816358        2.3474581508       15.2866023460
  2       12.7303644884        2.0678430365       14.1848427097
  3       13.4911644612        1.9034931324       14.5761843140
  1       17.8617303883       13.8087786059        6.9807530949
  2       18.7127506495       13.9009720996        7.4091145679
  2       17.8000076590       12.8776814157        6.7674997150
  3       17.9658689477       13.6980950943        7.0091340869
  1       21.2975947529       19.5991856902       11.1908732324
  2       22.0891291900       19.6759289241       10.6581327818
  2       21.0422357243       20.5035478413       11.3729433927
  3       21.3683368145       19.7286310481       11.1446063972
  1       12.6022105561        8.5504943487        4.9842234785
  2       12.3563168122        9.1248798185        4.2590708906
  2       13.2919685039        9.0278922737        5.4452591294
  3       12.6607732361        8.6892648417        4.9493763439
  1        9.1874809829        6.2046922460       13.2208730351
  2        8.3388354793        6.6325791541       13.3346371772
  2        9.7523273920        6.6138030829       13.8764685919
  3        9.1500370182        6.3151242896       13.3223810312
  1       14.8405546078        1.3987723487       11.0146870361
  2       14.1926591240        1.9710093579       11.4257891209
  2       14.3609031376        0.9582169937       10.3132070840
  3       14.6917880011        1.4161461998       10.9763750795
  1       19.1261710670        4.8906398864        7.9126834340
  2       19.3428879440        4.3196661371        8.6497393679
  2       19.9121059176        5.4208297284        7.7806462465
  3       19.2584592122        4.8852589278        7.9925085673
  1        6.7352297139        1.5852640118        3.1544021000
  2        6.7343269255        2.4766592954        2.8056295232
  2        5.8560584623        1.4674133977        3.5141211848
  3        6.6191142581        1.6873241657        3.1558463634
  1       20.1207237571       14.7965021561       16.9815466058
  2       19.7823504085       13.9076068569       16.8738558402
  2       19.4204704456       15.3611373854       16.6543447807
  3       19.9836891411       14.7537198399       16.9241676250
  1        2.1219414133       21.0377805792       15.2145536323
  2        2.4225906255       20.5624870324       15.9891081961
  2        1.5732573468       20.4093111719       14.7452981835
  3        2.0892161210       20.8921519925       15.2548342727
  1        7.1457493538       18.4477251625        5.9186844003
  2        7.9025398340       18.9578709930        6.2072118299
  2        6.4360911087       19.0868047067        5.8539450135
  3        7.1519678999       18.5993519828        5.9482106100
  1       12.9656457738        6.5893065916        8.2490152635
  2       12.8854585512        7.4236729438        8.7112181156
  2       12.2151377036        6.5708099057        7.6551935849
  3       12.8560452650        6.6969510327        8.2316497018
  1       -0.0464029246       14.7839702635        2.6899600643
  2        0.8731987180       14.9494489401        2.8977539608
  2       -0.5333456898       15.2393254197        3.3768131069
  3        0.0106813439       14.8658820121        2.8079982435
  1        9.7500861467        2.9805890868       11.6293779510
  2       10.1867122939        3.5077123080       10.9602536021
  2        9.6728756455        2.1108614586       11.2371521637
  3        9.7975068292        2.9353864503       11.4893452386
  1       19.4451253841       13.0864476180       13.9563321910
  2       19.8659666378       12.5844266602       13.2584093628
  2       20.0758491641       13.7735343139       14.1715717377
  3       19.5838670669       13.1108648733       13.8926477886
  1        5.5857981363       17.4443965129        8.1251398761
  2        4.7442166126       17.5460462480        7.6805765541
  2        6.2373669520       17.5423623529        7.4308132603
  3        5.5607281863       17.4707334487        7.9748766956
  1        5.4119581920       12.7267944424       15.9821459993
  2        5.4438860745       13.5673765512       16.4389074311
  2        6.3255540522       12.4454163651       15.9331801055
  3        5.5367089692       12.8005748610       16.0359498415
  1       10.1621855451       11.1232353611       13.6692787776
  2       10.3229876544       10.5746798265       14.4370405792
  2       10.9042912919       11.7273705648       13.6462919765
  3       10.2813136554       11.1305684471       13.7675431108
  1       19.8664426752        3.7568743336       17.3634016968
  2       19.9892672903        4.2694324917       16.5643854733
  2       20.2966520627        2.9214560651       17.1811247740
  3       19.9394090308        3.7142767257       17.2339315660
  1        8.1647420139       15.3478252414       20.1904323508
  2        8.3373069977       16.1683764883       19.7287553486
  2        8.1256898400       15.5957934023       21.1141289437
  3        8.1823574645       15.4888038551       20.2513904213
  1        9.2450760083       11.8808494786        5.3731888847
  2        9.7969201925       11.5280841844        4.6751535557
  2        8.4226031493       12.1059162864        4.9383187831
  3        9.2093697262       11.8640011598        5.2237152898
  1       12.6067038175       16.2947289359       11.5102576513
  2       12.7653311792       17.2049360440       11.2600795999
  2       11.9687371271       16.3491006521       12.2217848084
  3       12.5434606105       16.4219938078       11.5711272592
  1       11.3174533586        9.9558512296       16.4715358756
  2       10.7850545082        9.3152227332       16.9431027008
  2       12.2151969922        9.6372006539       16.5650605022
  3       11.3656563212        9.8292855979       16.5460930703
  1        0.7343926718       10.4772845997        8.7515503623
  2        1.2980476378        9.7047020594        8.7920222622
  2        0.2612797117       10.3861246797        7.9244574577
  3        0.7463386284       10.3633239044        8.6477649393
  1       14.3216629800       10.4073941783       13.0752543768
  2       14.9542034974       10.1634122358       13.7509717603
  2       14.7707721934       11.0741015209       12.5556093916
  3       14.4643739860       10.4631678409       13.0958463007
  1       11.4725121494        2.3741566687        5.4532253615
  2       12.3066009413        2.0946865499        5.0758382700
  2       11.4049811084        3.3015205238        5.2259270649
  3       11.5736504612        2.4596386544        5.3734442109
  1        5.8826276861        0.2106153914       10.9933157404
  2        5.7781820031        0.9513747454       11.5904717968
  2        5.0257429279       -0.2159378925       10.9878858250
  3        5.7557914003        0.2520712002       11.0713870702
  1        6.6964189211       10.1406674256       13.1195489286
  2        6.3255426514        9.2927764445       12.8750896197
  2        7.5816232071        9.9372912028       13.4216749965
  3        6.7642784754       10.0019650380       13.1271573816
  1        9.3741465703        0.3454775014       10.9551236791
  2       10.2144695787        0.2247889809       11.3973003401
  2        9.5565195526        0.1507198941       10.0358640604
  3        9.5090793211        0.3038580816       10.8921781739
  1        9.1213184855        2.8459248946       -0.1935594302
  2       10.0208682643        2.6630846518       -0.4648679594
  2        9.1522588578        2.8350236471        0.7630766203
  3        9.2440857564        2.8203629755       -0.1031384952
  1       13.1825277779        6.2243537834       12.6700212025
  2       13.2733880897        6.2353860820       13.6228335497
  2       12.3942437969        6.7394185597       12.4981336858
  3       13.0905108980        6.2937661271       12.7730550821
  1        2.6885893174       18.2189692968        4.2717177697
  2        2.6331181417       17.3131238107        3.9674225497
  2        3.4726456026       18.5671675617        3.8471681416
  3        2.7847175842       18.1453942811        4.1755552334
  1       10.9415520174       16.5659003449       13.6128527168
  2       10.1262373780       17.0219201818       13.8215070337
  2       11.2597152186       16.2449186742       14.4566368251
  3       10.8759587113       16.5837170484       13.7517096334
  1        1.2433598784       17.8150760048       15.0373574606
  2        0.7592566742       18.5771267747       14.7193143995
  2        1.6640569776       17.4550257850       14.2565844674
  3        1.2349941859       17.8681152663       14.8923815594
  1        7.1408761045       12.6904718164        3.9415275243
  2        6.9369542648       13.6236859791        4.0028128142
  2        7.2527874498       12.5303051982        3.0044836715
  3        7.1287363981       12.7924663805        3.8259814451
  1        0.5853198959        9.1240895348        3.1453471153
  2        0.6334098193        9.9126273395        2.6048619937
  2        1.2564080438        9.2514587959        3.8159039332
  3        0.6802070143        9.2449327385        3.1625085513
  1       16.6408552258        9.3782936870       17.5155186361
  2       17.4599987698        8.9432440708       17.2789507543
  2       16.3246412698        9.7569694203       16.6952491072
  3       16.7072108910        9.3708558138       17.3760813249
  1       17.9815897641       16.0388179381       15.6591039097
  2       17.4391090989       16.7396928476       16.0206530297
  2       18.0603041123       16.2516794603       14.7291992368
  3       17.9204012335       16.1593747521       15.5841160551
  1       19.4349595275        8.7466058040        2.5427171094
  2       20.3596307089        8.8547494750        2.7652408825
  2       19.0197071700        9.5550702196        2.8430160357
  3       19.5021713714        8.8675414992        2.6116974375
  1        3.6436236439       12.1324402677        1.2138840607
  2        4.1997462798       11.3868375266        0.9879795605
  2        3.8307306305       12.7846550420        0.5387281226
  3        3.7416840826       12.1201188199        1.0949996955
  1       12.5196836395        9.0231253833        9.2803978683
  2       12.0670312283        8.8309968187       10.1016293133
  2       11.8183952956        9.1128943858        8.6351344634
  3       12.3674346800        9.0096202386        9.3036147890
  1       20.5084769588        2.9872747712       14.0837279631
  2       20.4906847502        2.1175366325       14.4830620141
  2       19.8318129249        2.9547509149       13.4074908295
  3       20.4168515960        2.8682318747       14.0471938464
  1       20.1259451277        3.4386369886       10.1430311001
  2       19.7734930835        2.6977151250       10.6360230123
  2       19.8438185918        4.2099801725       10.6346233978
  3       20.0422199208        3.4426507253       10.2729354482
  1        3.5531104158        4.4304752279       11.1961942320
  2        2.8102131976        4.1102841716       10.6845204223
  2        3.1673002646        5.0442517826       11.8212202676
  3        3.4041907059        4.4692103939       11.2111497298
  1       16.9003946065       17.8979898349        3.2290025121
  2       17.3614495446       17.4104169422        2.5464120819
  2       16.3750322664       17.2383428605        3.6818699956
  3       16.8919099985       17.7466276178        3.1986932614
  1       10.9485218103        7.0727408309        6.5394542934
  2       11.4069583715        7.7494798909        6.0413691189
  2       10.0513010401        7.3973605170        6.6159109855
  3       10.8906293761        7.2048583824        6.4838253562
  1       14.0363173975       18.7282319812        3.0092496748
  2       14.8018951323       18.1607518052        3.0991699659
  2       13.7284529860       18.8597938668        3.9059880152
  3       14.0967073065       18.6707176714        3.1394277184
  1        8.5543454011       16.5690184739        1.2605114751
  2        7.7007983142       16.6331461317        1.6889664795
  2        9.0629874968       15.9867083304        1.8248046543
  3        8.5088392295       16.5006503676        1.3914929638
  1       15.2534469326        0.6916142903       19.2019747828
  2       15.8823365141        1.3938543434       19.3680635512
  2       14.3988541674        1.1212493837       19.2382179771
  3       15.2236680426        0.8409519513       19.2286701141
  1       10.4987861355       14.2557387667        6.3052140450
  2       10.1749129945       13.4099167842        5.9955044401
  2       11.4518863349       14.1775299776        6.2638368522
  3       10.5818052719       14.1338237352        6.2588922565
  1       10.9743855868        7.4510167640       11.7102335358
  2       10.8529158308        8.3551682753       12.0000331559
  2       10.2716400285        6.9644420263       12.1410726960
  3       10.8656400352        7.5061111256       11.8053133776
  1        4.7402815354        9.5565367408        2.7988037023
  2        5.5456018122        9.2360666946        3.2049894703
  2        4.0588529870        9.3846716723        3.4486853904
  3        4.7566275971        9.4915788921        2.9381394269
  1       15.4688906761        3.2894029414        0.9266366050
  2       15.6488568269        3.9641541602        0.2719980375
  2       16.2026790537        3.3469434125        1.5385780957
  3       15.5894498777        3.3860202480        0.9210032261
  1        9.2505818459        7.4003778624        9.6048811881
  2        9.2827648412        6.6224576586        9.0480750385
  2        9.8783142003        7.2206696840       10.3047995682
  3        9.3376499426        7.2740300199        9.6237631698
  1       20.7535578916        8.1241461963        0.0367294610
  2       20.3114481169        8.2378345359        0.8780632743
  2       21.5630822930        7.6608009778        0.2516948746
  3       20.8020339458        8.0780130688        0.1760957651
  1        9.9019037860        4.8035341249       18.9919564270
  2        9.0567321063        5.2514983063       18.9567200686
  2       10.2428498903        5.0025808008       19.8639454474
  3        9.8353771304        4.8888996251       19.1023561347
  1       15.6735344314        6.1299441003        7.8310044923
  2       14.7416470941        6.3384647955        7.8968359981
  2       15.7284604897        5.5008596296        7.1116544150
  3       15.5578296679        6.0744556387        7.7447803755
  1       18.6881987418       20.5950474453       18.1532426086
  2       18.9152581580       20.3791525315       17.2487747625
  2       19.5297127350       20.6441915985       18.6067486487
  3       18.8291844804       20.5730466366       18.0937434832
  1       17.7163077550       10.9443381061        6.7455827442
  2       18.5050952188       10.9408149314        7.2878286304
  2       16.9946744211       10.9993934750        7.3720353878
  3       17.7251679555       10.9511371752        6.8997788191
  1       14.9968648056        8.0639233208       11.6339856921
  2       14.3420823723        7.4160819779       11.8943512741
  2       14.6778187556        8.8884351480       12.0008896873
  3       14.8683795496        8.0872329208       11.7167465618
  1       17.1316604317        3.4864921205       16.7564933068
  2       16.8904796474        3.3641411112       17.6746930328
  2       18.0405062403        3.7855274311       16.7848809094
  3       17.2197510072        3.5098035435       16.8813844117
  1        1.9255886592        4.0166588402       14.5632722486
  2        0.9802245118        4.1662270989       14.5752989514
  2        2.1287582137        3.6943354049       15.4413715666
  3        1.8276647805        3.9938658192       14.6807139456
  1       19.9067334720       11.7006368291        9.3540949189
  2       20.8405688304       11.5273057837        9.2351976986
  2       19.6924512267       11.2951617130       10.1942744988
  3       20.0016700727       11.6242701392        9.4492596735
  1        8.0393754869       19.2569966302        0.6948601680
  2        8.4315094333       19.5615049292       -0.1235128159
  2        8.4673399149       18.4186274635        0.8686769265
  3        8.1475778565       19.1865599451        0.6098185277
  1       17.0220750789       21.0536545673        9.4918456965
  2       16.3920136096       20.9724244747        8.7758478656
  2       17.2903901462       21.9722707862        9.4723535453
  3       16.9743468805       21.1641378533        9.3948064127
  1       20.7498212931       11.5293245429       12.1784943806
  2       21.3217532817       11.3062395254       12.9129026814
  2       21.3466984006       11.8218577556       11.4897341068
  3       20.9040319559       11.5384874184       12.1845171028
  1       12.7631043148       10.7017735779       19.6270519063
  2       13.6293860895       10.9301949933       19.2899937203
  2       12.8545466743       10.7532331316       20.5784818228
  3       12.8894647906       10.7387005918       19.7081110562
  1       14.2810128261        3.7762647932       16.3033606117
  2       15.2004306473        3.5242720495       16.3893792388
  2       13.9092504281        3.6282874888       17.1729145857
  3       14.3532695412        3.7234934326       16.4294372180
  1        7.5042324938       12.0401641596        1.2313327671
  2        6.9374490927       11.4288398546        0.7609416030
  2        7.6757741282       12.7409342937        0.6022672986
  3        7.4520849746       12.0519654885        1.0862723491
  1        8.6145614215        1.2126458232       18.1531534228
  2        9.4363771307        1.6991877823       18.2173759977
  2        8.3655785714        1.0411763219       19.0613573797
  3        8.6901400042        1.2542159417       18.2814537077
  1       14.4742739267       11.5347448629        4.1527608394
  2       14.2246078054       12.0707713074        4.9054700499
  2       15.3725008880       11.2619164854        4.3397947385
  3       14.5598439290       11.5694707634        4.2767489297
  1       12.8327923097        0.0265355081        9.2780975117
  2       12.4043616153        0.7879693098        8.8870803988
  2       12.8302295265       -0.6328907152        8.5842825760
  3       12.7759277712        0.0399942126        9.1349666362
  1       18.7166451734        5.5212842554       11.5960838157
  2       19.1391454395        6.1310086112       10.9911388496
  2       18.9932670817        5.8142893501       12.4643332103
  3       18.8088861512        5.6403888272       11.6308237494
  1       10.0477899000       12.6204721728        9.4977845566
  2        9.6156519923       13.0177086103       10.2538855540
  2       10.9114209511       13.0323716253        9.4711589023
  3       10.1047203636       12.7272281711        9.5940302793
  1        0.7740424035       15.1800099300        6.6219885647
  2        1.3646871803       14.9098787754        7.3251219688
  2        1.0231244266       14.6340110195        5.8762862029
  3        0.8848345139       15.0723311322        6.6163720896
  1       15.4857216607       17.6736659148       10.3231068294
  2       16.0992822242       17.5992358336        9.5921948820
  2       15.7774106976       17.0114414557       10.9496887861
  3       15.6051587368       17.5764729811       10.3093417097
  1       10.3666097380       18.8892241398       11.3956149561
  2       10.2236746767       18.0076228473       11.7399656586
  2        9.4970259093       19.2892712960       11.3917530328
  3       10.2330197363       18.8256887149       11.4405384603
  1        7.8216939235        0.2931867543       13.2832051414
  2        8.3151413063        0.3954101167       12.4693938970
  2        8.4265550564       -0.1525463414       13.8762428251
  3        7.9666028610        0.2478646707       13.2540766574
  1       12.5078293899       12.2487472799       13.9082836941
  2       13.1139861337       11.5295149027       13.7307802676
  2       12.6944564705       12.5023405903       14.8122136929
  3       12.6124279248       12.1873116619       14.0041271673
  1       19.2262486326       18.1433720784        9.4482767974
  2       19.9487255619       17.5155565536        9.4381067274
  2       19.1562931367       18.4139389181       10.3637703750
  3       19.3123411888       18.0962373011        9.5677236246
  1       11.6915760045       21.2034294926       12.5410931429
  2       12.3031922242       21.6408783856       11.9488155536
  2       11.6401944219       20.3057357906       12.2128636084
  3       11.7654923995       21.1427055837       12.4196430154
  1        9.6349674225        4.2134136898       16.2580717519
  2        9.8691839523        4.2639257324       17.1847970767
  2        8.6888050700        4.0684835265       16.2572189138
  3        9.5410345146        4.2009563253       16.3802297761
  1        6.0188850495       21.2407140896        1.6325814627
  2        6.4825698353       21.8755984026        2.1786098552
  2        6.6381122631       20.5186801737        1.5255610950
  3        6.1617625970       21.2292157208        1.6905034268
  1       13.4468372023        6.4208005576       15.7251783235
  2       13.7233817499        7.1849901081       16.2309115742
  2       13.8897609086        5.6827756728       16.1439462028
  3       13.5417626069        6.4242526786       15.8471554133
  1        9.1616942599        9.7753829951       20.4614368098
  2        9.6419484016       10.2081418928       21.1673435831
  2        9.7976792286        9.1761630209       20.0706846902
  3        9.3089689291        9.7534204068       20.5030177730
  1        4.1456513265       13.9140871418        3.7508860197
  2        3.2752368560       13.5796397505        3.9671087494
  2        4.5286622830       13.2406822341        3.1886964480
  3        4.0813441448       13.7811128421        3.7052397493
  1        7.1381356312        8.7689260120        3.8034201291
  2        6.8736601268        7.8593726673        3.6656010538
  2        7.8357443138        8.9154381575        3.1645891701
